TIMESTAMP           | USERNAME | IP           | STATUS
2026-02-01 09:00:10 | user1    | 192.168.1.5  | SUCCESS
2026-02-01 09:01:02 | admin    | 192.168.1.10 | FAILED
2026-02-01 09:01:10 | admin    | 192.168.1.10 | FAILED
2026-02-01 09:01:18 | admin    | 192.168.1.10 | FAILED
2026-02-01 09:01:25 | admin    | 192.168.1.10 | FAILED
2026-02-01 09:01:33 | admin    | 192.168.1.10 | FAILED
2026-02-01 09:01:40 | admin    | 192.168.1.10 | SUCCESS
2026-02-01 09:05:12 | user2    | 192.168.1.8  | SUCCESS
2026-02-01 09:06:30 | test     | 10.0.0.5     | FAILED
2026-02-01 09:06:42 | test     | 10.0.0.5     | FAILED
2026-02-01 09:06:55 | test     | 10.0.0.5     | FAILED
